Season,Phase,Round,Gamecode,NUM_ANOT,TEAM,ID_PLAYER,PLAYER,ID_ACTION,ACTION,POINTS,COORD_X,COORD_Y,ZONE,FASTBREAK,SECOND_CHANCE,POINTS_OFF_TURNOVER,MINUTE,CONSOLE,POINTS_A,POINTS_B,UTC
2008,RS,1,1,3,AVE,PLCC,"WARREN, CHRIS",3FGA,Missed Three Pointer,0,-31,752,J,,,,1,10:00,0,0,
2008,RS,1,1,5,OLY,PATW,"PAPALOUKAS, THEODOROS",LAYUPATT,Missed Layup,0,112,6,C,,,,1,10:00,0,0,
2008,RS,1,1,7,OLY,PAPB,"VUJCIC, NIKOLA",LAYUPATT,Missed Layup,0,69,18,C,,,,1,10:00,0,0,
2008,RS,1,1,13,AVE,PKVL,"BEST, TRAVIS",LAYUPMD,Layup Made,2,-119,31,D,,,,1,10:00,2,0,
2008,RS,1,1,18,OLY,P001225,"CHILDRESS, JOSH",LAYUPATT,Missed Layup,0,56,-12,C,,,,1,10:00,2,0,
2008,RS,1,1,23,OLY,PAMM,"PRINTEZIS, GEORGIOS",LAYUPMD,Layup Made,2,-43,37,D,,,,2,09:00,2,2,
2008,RS,1,1,24,AVE,P001177,"WILLIAMS, ERIC",LAYUPATT,Missed Layup,0,-56,37,D,,,,2,09:00,2,2,
2008,RS,1,1,26,AVE,P001177,"WILLIAMS, ERIC",DUNK,Dunk,2,12,-18,C,,,,2,09:00,4,2,
2008,RS,1,1,35,OLY,P001225,"CHILDRESS, JOSH",LAYUPMD,Layup Made,2,87,43,C,,,,3,08:00,4,4,
2008,RS,1,1,37,AVE,PKQI,"SLAY, TAMAR",2FGA,Missed Two Pointer,0,-414,18,E,,,,3,08:00,4,4,
2008,RS,1,1,40,OLY,PAMM,"PRINTEZIS, GEORGIOS",LAYUPATT,Missed Layup,0,62,12,C,,,,4,07:00,4,4,
2008,RS,1,1,42,AVE,PLCC,"WARREN, CHRIS",LAYUPMD,Layup Made,2,-75,12,D,,,,4,07:00,6,4,
2008,RS,1,1,51,AVE,PLJM,"CINCIARINI, DANIELE",2FGA,Missed Two Pointer,0,-395,31,E,,,,4,07:00,6,4,
2008,RS,1,1,54,OLY,PAPB,"VUJCIC, NIKOLA",LAYUPATT,Missed Layup,0,100,25,C,,,,5,06:00,6,4,
2008,RS,1,1,56,AVE,PLCC,"WARREN, CHRIS",LAYUPATT,Missed Layup,0,-69,18,D,,,,5,06:00,6,4,
2008,RS,1,1,58,OLY,PKPH,"MILOSEVIC, IGOR",3FGA,Missed Three Pointer,0,608,363,A,,,,5,06:00,6,4,
2008,RS,1,1,60,AVE,PAVJ,"TUSEK, MARKO",3FGM,Three Pointer,3,307,621,G,,,,5,06:00,9,4,
2008,RS,1,1,69,OLY,PATW,"PAPALOUKAS, THEODOROS",FTM,Free Throw In,1,-1,-1, ,,,,6,05:00,9,5,
2008,RS,1,1,70,OLY,PATW,"PAPALOUKAS, THEODOROS",FTM,Free Throw In,1,-1,-1, ,,,,6,05:00,9,6,
2008,RS,1,1,71,AVE,PKVL,"BEST, TRAVIS",3FGA,Missed Three Pointer,0,-232,652,J,,,,6,05:00,9,6,
2008,RS,1,1,81,OLY,PCRR,"GREER, LYNN",FTM,Free Throw In,1,-1,-1, ,,,,6,05:00,9,7,
2008,RS,1,1,85,AVE,P001172,"PORTA, ANTONIO",LAYUPMD,Layup Made,2,-25,81,D,,,,7,04:00,11,7,
2008,RS,1,1,90,OLY,PCRR,"GREER, LYNN",FTM,Free Throw In,1,-1,-1, ,,,,7,04:00,11,8,
2008,RS,1,1,91,OLY,PCRR,"GREER, LYNN",FTM,Free Throw In,1,-1,-1, ,,,,7,04:00,11,9,
2008,RS,1,1,92,OLY,PCRR,"GREER, LYNN",FTM,Free Throw In,1,-1,-1, ,,,,7,04:00,11,10,
