Season,Phase,Round,Gamecode,NUM_ANOT,TEAM,ID_PLAYER,PLAYER,ID_ACTION,ACTION,POINTS,COORD_X,COORD_Y,ZONE,FASTBREAK,SECOND_CHANCE,POINTS_OFF_TURNOVER,MINUTE,CONSOLE,POINTS_A,POINTS_B,UTC
2009,RS,1,1,2,BAR,PLFW,"RUBIO, RICKY",2FGM,Two Pointer,2,276,200,E,,,,1,10:00,0,2,
2009,RS,1,1,3,ULK,PCOS,"SOLOMON, WILLIE",3FGM,Three Pointer,3,690,-43,I,,,,1,10:00,3,2,
2009,RS,1,1,6,BAR,PADI,"NAVARRO, JUAN CARLOS",3FGA,Missed Three Pointer,0,382,759,I,,,,2,09:00,3,2,
2009,RS,1,1,8,ULK,PCOS,"SOLOMON, WILLIE",2FGM,Two Pointer,2,545,100,G,,,,2,09:00,5,2,
2009,RS,1,1,10,BAR,PJWO,"MICKEAL, PETE",LAYUPMD,Layup Made,2,-25,181,B,,,,2,09:00,5,4,
2009,RS,1,1,12,ULK,PCOS,"SOLOMON, WILLIE",LAYUPATT,Missed Layup,0,-94,125,B,,,,3,08:00,5,4,
2009,RS,1,1,16,BAR,PBWL,"LORBEK, ERAZEM",LAYUPMD,Layup Made,2,-18,94,B,,,,3,08:00,5,6,
2009,RS,1,1,19,ULK,PAFI,"GIRICEK, GORDAN",2FGA,Missed Two Pointer,0,-539,69,F,,,,3,08:00,5,6,
2009,RS,1,1,22,BAR,PAXC,"VAZQUEZ, FRAN",2FGM,Two Pointer,2,426,69,E,,,,4,07:00,5,8,
2009,RS,1,1,24,ULK,PCOS,"SOLOMON, WILLIE",2FGA,Missed Two Pointer,0,31,476,G,,,,4,07:00,5,8,
2009,RS,1,1,26,BAR,PADI,"NAVARRO, JUAN CARLOS",2FGA,Missed Two Pointer,0,-150,244,D,,,,4,07:00,5,8,
2009,RS,1,1,41,BAR,PJWO,"MICKEAL, PETE",FTM,Free Throw In,1,-1,-1, ,,,,5,06:00,5,9,
2009,RS,1,1,42,BAR,PJWO,"MICKEAL, PETE",FTM,Free Throw In,1,-1,-1, ,,,,5,06:00,5,10,
2009,RS,1,1,43,BAR,PAXC,"VAZQUEZ, FRAN",2FGM,Two Pointer,2,307,464,G,,,,5,06:00,5,12,
2009,RS,1,1,45,ULK,PARO,"ONAN, OMER",3FGA,Missed Three Pointer,0,-495,451,H,,,,5,06:00,5,12,
2009,RS,1,1,48,BAR,PAXC,"VAZQUEZ, FRAN",DUNK,Dunk,2,-6,-6,A,,,,6,05:00,5,14,
2009,RS,1,1,55,BAR,PJWO,"MICKEAL, PETE",LAYUPATT,Missed Layup,0,-75,0,A,,,,6,05:00,5,14,
2009,RS,1,1,57,ULK,PCOS,"SOLOMON, WILLIE",2FGA,Missed Two Pointer,0,-188,150,B,,,,6,05:00,5,14,
