Season,Phase,Round,Gamecode,NUM_ANOT,TEAM,ID_PLAYER,PLAYER,ID_ACTION,ACTION,POINTS,COORD_X,COORD_Y,ZONE,FASTBREAK,SECOND_CHANCE,POINTS_OFF_TURNOVER,MINUTE,CONSOLE,POINTS_A,POINTS_B,UTC
2010,RS,1,1,3,KHI,PCQO,"EZE, BENJAMIN",2FGM,Two Pointer,2,-31,552,F,,,,1,10:00,2,0,
2010,RS,1,1,5,SOP,P000129,"BROWN, BOBBY",2FGM,Two Pointer,2,-545,81,F,,,,1,10:00,2,2,
2010,RS,1,1,7,KHI,P001887,"LANGFORD, KEITH",2FGA,Missed Two Pointer,0,-250,357,F,,,,2,09:00,2,2,
2010,RS,1,1,9,KHI,PAIT,"LOPEZ, RAUL",LAYUPMD,Layup Made,2,62,56,C,,,,2,09:00,4,2,
2010,RS,1,1,11,KHI,P001887,"LANGFORD, KEITH",2FGM,Two Pointer,2,-382,181,D,,,,2,09:00,6,2,
2010,RS,1,1,12,SOP,P000129,"BROWN, BOBBY",3FGA,Missed Three Pointer,0,401,627,I,,,,2,09:00,6,2,
2010,RS,1,1,16,KHI,PBFX,"MONYA, SERGEY",3FGM,Three Pointer,3,388,608,I,,,,3,08:00,9,2,
2010,RS,1,1,22,SOP,PJHV,"LAPETA, ADAM",FTM,Free Throw In,1,-1,-1, ,,,,3,08:00,9,3,
2010,RS,1,1,24,KHI,PCQO,"EZE, BENJAMIN",LAYUPATT,Missed Layup,0,-150,119,B,,,,3,08:00,9,3,
2010,RS,1,1,26,SOP,P002837,"WILKS, MICHAEL",LAYUPATT,Missed Layup,0,-18,100,B,,,,3,08:00,9,3,
2010,RS,1,1,30,SOP,P001209,"SZCZOTKA, PIOTR",LAYUPMD,Layup Made,2,-6,69,B,,,,3,08:00,9,5,
2010,RS,1,1,33,SOP,P002837,"WILKS, MICHAEL",3FGA,Missed Three Pointer,0,-244,664,H,,,,4,07:00,9,5,
2010,RS,1,1,41,SOP,PLGW,"BURRELL, RONNIE",LAYUPATT,Missed Layup,0,-12,106,B,,,,4,07:00,9,5,
2010,RS,1,1,45,KHI,PAIT,"LOPEZ, RAUL",2FGA,Missed Two Pointer,0,219,414,G,,,,4,07:00,9,5,
2010,RS,1,1,48,SOP,P000129,"BROWN, BOBBY",3FGA,Missed Three Pointer,0,12,683,I,,,,5,06:00,9,5,
2010,RS,1,1,50,KHI,P001887,"LANGFORD, KEITH",3FGM,Three Pointer,3,-489,508,H,,,,5,06:00,12,5,
2010,RS,1,1,59,KHI,P001887,"LANGFORD, KEITH",FTM,Free Throw In,1,-1,-1, ,,,,5,06:00,13,5,
2010,RS,1,1,62,KHI,PCQO,"EZE, BENJAMIN",2FGA,Missed Two Pointer,0,257,75,C,,,,6,05:00,13,5,
2010,RS,1,1,64,SOP,P000129,"BROWN, BOBBY",LAYUPATT,Missed Layup,0,-31,69,B,,,,6,05:00,13,5,
2010,RS,1,1,68,SOP,P000378,"EWING, DANIEL",2FGAB,Missed Two Pointer,0,175,163,C,,,,6,05:00,13,5,
2010,RS,1,1,72,SOP,P000129,"BROWN, BOBBY",2FGA,Missed Two Pointer,0,0,238,D,,,,6,05:00,13,5,
2010,RS,1,1,83,KHI,PLSK,"PANIN, VADIM",3FGA,Missed Three Pointer,0,-219,652,H,,,,6,05:00,13,5,
2010,RS,1,1,91,SOP,PBTS,"VARDA, RATKO",FTM,Free Throw In,1,-1,-1, ,,,,7,04:00,13,6,
2010,RS,1,1,93,KHI,PBFX,"MONYA, SERGEY",3FGM,Three Pointer,3,87,696,I,,,,7,04:00,16,6,
