Season,Phase,Round,Gamecode,NUM_ANOT,TEAM,ID_PLAYER,PLAYER,ID_ACTION,ACTION,POINTS,COORD_X,COORD_Y,ZONE,FASTBREAK,SECOND_CHANCE,POINTS_OFF_TURNOVER,MINUTE,CONSOLE,POINTS_A,POINTS_B,UTC
2007,RS,1,1,2,BAS,PCBX,"PRIGIONI, PABLO",3FGM,Three Pointer,3,515,479,G,,,,1,10:00,0,3,
2007,RS,1,1,4,OLY,PTFV,"WOODS, QYNTEL",2FGA,Missed Two Pointer,0,-2,451,I,,,,1,10:00,0,3,
2007,RS,1,1,8,OLY,PCBV,"MACIJAUSKAS, ARVYDAS",2FGM,Two Pointer,2,-33,17,D,,,,1,10:00,2,3,
2007,RS,1,1,10,BAS,PCBY,"SPLITTER, TIAGO",2FGM,Two Pointer,2,17,33,C,,,,2,09:00,2,5,
2007,RS,1,1,12,OLY,P000126,"JACKSON, MARC",2FGA,Missed Two Pointer,0,43,76,C,,,,2,09:00,2,5,
2007,RS,1,1,14,BAS,PANB,"RAKOCEVIC, IGOR",2FGA,Missed Two Pointer,0,-5,12,D,,,,2,09:00,2,5,
2007,RS,1,1,16,OLY,P000126,"JACKSON, MARC",2FGAB,Missed Two Pointer,0,-17,41,D,,,,2,09:00,2,5,
2007,RS,1,1,22,OLY,PCBV,"MACIJAUSKAS, ARVYDAS",2FGM,Two Pointer,2,-5,48,D,,,,2,09:00,4,5,
2007,RS,1,1,25,BAS,PCBX,"PRIGIONI, PABLO",3FGA,Missed Three Pointer,0,10,676,G,,,,3,08:00,4,5,
2007,RS,1,1,27,OLY,P000126,"JACKSON, MARC",2FGM,Two Pointer,2,15,61,C,,,,3,08:00,6,5,
2007,RS,1,1,32,OLY,PAQU,"BOUROUSIS, IOANNIS",2FGA,Missed Two Pointer,0,-397,212,E,,,,4,07:00,6,5,
2007,RS,1,1,34,OLY,PCRR,"GREER, LYNN TERENCE",3FGA,Missed Three Pointer,0,-43,689,J,,,,4,07:00,6,5,
2007,RS,1,1,35,BAS,PANB,"RAKOCEVIC, IGOR",3FGM,Three Pointer,3,592,323,A,,,,4,07:00,6,8,
2007,RS,1,1,36,OLY,PCBV,"MACIJAUSKAS, ARVYDAS",2FGA,Missed Two Pointer,0,-17,469,I,,,,4,07:00,6,8,
2007,RS,1,1,38,OLY,PTFV,"WOODS, QYNTEL",3FGA,Missed Three Pointer,0,471,533,G,,,,4,07:00,6,8,
2007,RS,1,1,45,OLY,PCBV,"MACIJAUSKAS, ARVYDAS",2FGM,Two Pointer,2,-402,189,E,,,,5,06:00,8,8,
2007,RS,1,1,48,BAS,PANB,"RAKOCEVIC, IGOR",2FGA,Missed Two Pointer,0,-294,264,E,,,,5,06:00,8,8,
2007,RS,1,1,50,OLY,PCRR,"GREER, LYNN TERENCE",2FGA,Missed Two Pointer,0,302,289,B,,,,5,06:00,8,8,
