round,gameday,date,time,gamenumber,gamecode,group,hometeam,homecode,homescore,awayteam,awaycode,awayscore,played
RS,5,"Oct 17, 2025",20:45,47,E2025_47,Regular Season,KOSNER BASKONIA VITORIA-GASTEIZ,BAS,79,PARTIZAN MOZZART BET BELGRADE,PAR,91,True
RS,8,"Oct 30, 2025",20:05,73,E2025_73,Regular Season,MACCABI RAPYD TEL AVIV,TEL,92,CRVENA ZVEZDA MERIDIANBET BELGRADE,RED,99,True
RS,20,"Jan 06, 2026",20:05,195,E2025_195,Regular Season,HAPOEL IBI TEL AVIV,HTA,85,DUBAI BASKETBALL,DUB,60,True
RS,25,"Jan 29, 2026",20:45,245,E2025_245,Regular Season,VALENCIA BASKET,PAM,94,MACCABI RAPYD TEL AVIV,TEL,83,True
RS,10,"Nov 11, 2025",17:00,96,E2025_96,Regular Season,DUBAI BASKETBALL,DUB,102,CRVENA ZVEZDA MERIDIANBET BELGRADE,RED,86,True
RS,23,"Jan 20, 2026",20:30,228,E2025_228,Regular Season,VALENCIA BASKET,PAM,98,PARIS BASKETBALL,PRS,84,True
RS,15,"Dec 12, 2025",20:30,148,E2025_148,Regular Season,FC BARCELONA,BAR,98,OLYMPIACOS PIRAEUS,OLY,85,True
RS,19,"Jan 02, 2026",20:15,188,E2025_188,Regular Season,PANATHINAIKOS AKTOR ATHENS,PAN,82,OLYMPIACOS PIRAEUS,OLY,87,True
RS,21,"Jan 09, 2026",20:15,209,E2025_209,Regular Season,OLYMPIACOS PIRAEUS,OLY,95,FC BAYERN MUNICH,MUN,80,True
RS,1,"Sep 30, 2025",20:45,7,E2025_7,Regular Season,VIRTUS BOLOGNA,VIR,74,REAL MADRID,MAD,68,True
RS,8,"Oct 30, 2025",20:30,72,E2025_72,Regular Season,FC BAYERN MUNICH,MUN,86,VIRTUS BOLOGNA,VIR,70,True
RS,23,"Jan 20, 2026",20:15,225,E2025_225,Regular Season,PANATHINAIKOS AKTOR ATHENS,PAN,93,KOSNER BASKONIA VITORIA-GASTEIZ,BAS,74,True
RS,4,"Oct 14, 2025",20:30,32,E2025_32,Regular Season,FC BAYERN MUNICH,MUN,64,EA7 EMPORIO ARMANI MILAN,MIL,53,True
RS,1,"Sep 30, 2025",18:00,5,E2025_5,Regular Season,HAPOEL IBI TEL AVIV,HTA,103,FC BARCELONA,BAR,87,True
