round,gameday,date,time,gamenumber,gamecode,group,hometeam,homecode,homescore,awayteam,awaycode,awayscore,played
RS,12,"Nov 28, 2024",20:30,102,E2024_102,Regular Season,PARIS BASKETBALL,PRS,81,VIRTUS SEGAFREDO BOLOGNA,VIR,78,True
PO,37,"Apr 22, 2025",20:30,312,E2024_312,PLAYOFF C,PANATHINAIKOS AKTOR ATHENS,PAN,87,ANADOLU EFES ISTANBUL,IST,83,True
RS,20,"Jan 09, 2025",20:05,175,E2024_175,Regular Season,MACCABI PLAYTIKA TEL AVIV,TEL,74,EA7 EMPORIO ARMANI MILAN,MIL,107,True
RS,14,"Dec 06, 2024",19:00,123,E2024_123,Regular Season,AS MONACO,MCO,100,ALBA BERLIN,BER,80,True
RS,31,"Mar 25, 2025",20:30,273,E2024_273,Regular Season,FC BARCELONA,BAR,101,FC BAYERN MUNICH,MUN,102,True
RS,25,"Feb 04, 2025",20:00,219,E2024_219,Regular Season,CRVENA ZVEZDA MERIDIANBET BELGRADE,RED,73,LDLC ASVEL VILLEURBANNE,ASV,66,True
RS,4,"Oct 17, 2024",20:45,31,E2024_31,Regular Season,REAL MADRID,MAD,90,PANATHINAIKOS AKTOR ATHENS,PAN,86,True
RS,33,"Apr 04, 2025",20:30,297,E2024_297,Regular Season,VIRTUS SEGAFREDO BOLOGNA,VIR,90,EA7 EMPORIO ARMANI MILAN,MIL,70,True
RS,23,"Jan 23, 2025",20:45,202,E2024_202,Regular Season,REAL MADRID,MAD,90,BASKONIA VITORIA-GASTEIZ,BAS,89,True
PO,39,"Apr 29, 2025",20:30,321,E2024_321,PLAYOFF D,PARIS BASKETBALL,PRS,88,FENERBAHCE BEKO ISTANBUL,ULK,98,True
RS,28,"Mar 06, 2025",20:30,247,E2024_247,Regular Season,EA7 EMPORIO ARMANI MILAN,MIL,76,FENERBAHCE BEKO ISTANBUL,ULK,100,True
RS,16,"Dec 18, 2024",20:15,143,E2024_143,Regular Season,OLYMPIACOS PIRAEUS,OLY,87,VIRTUS SEGAFREDO BOLOGNA,VIR,77,True
RS,28,"Mar 07, 2025",20:00,250,E2024_250,Regular Season,LDLC ASVEL VILLEURBANNE,ASV,95,MACCABI PLAYTIKA TEL AVIV,TEL,102,True
RS,22,"Jan 17, 2025",20:00,195,E2024_195,Regular Season,CRVENA ZVEZDA MERIDIANBET BELGRADE,RED,88,AS MONACO,MCO,82,True
RS,14,"Dec 06, 2024",20:30,125,E2024_125,Regular Season,VIRTUS SEGAFREDO BOLOGNA,VIR,87,CRVENA ZVEZDA MERIDIANBET BELGRADE,RED,94,True
RS,5,"Oct 24, 2024",20:45,42,E2024_42,Regular Season,REAL MADRID,MAD,95,CRVENA ZVEZDA MERIDIANBET BELGRADE,RED,72,True
PO,37,"Apr 23, 2025",19:00,311,E2024_311,PLAYOFF B,AS MONACO,MCO,97,FC BARCELONA,BAR,80,True
RS,17,"Dec 20, 2024",20:00,150,E2024_150,Regular Season,VIRTUS SEGAFREDO BOLOGNA,VIR,86,FC BARCELONA,BAR,81,True
RS,2,"Oct 11, 2024",20:30,16,E2024_16,Regular Season,EA7 EMPORIO ARMANI MILAN,MIL,79,PARIS BASKETBALL,PRS,74,True
RS,19,"Jan 03, 2025",20:15,168,E2024_168,Regular Season,PANATHINAIKOS AKTOR ATHENS,PAN,111,VIRTUS SEGAFREDO BOLOGNA,VIR,90,True
RS,24,"Jan 31, 2025",19:00,214,E2024_214,Regular Season,AS MONACO,MCO,77,REAL MADRID,MAD,73,True
RS,4,"Oct 18, 2024",20:30,36,E2024_36,Regular Season,LDLC ASVEL VILLEURBANNE,ASV,76,BASKONIA VITORIA-GASTEIZ,BAS,69,True
RS,5,"Oct 24, 2024",19:00,39,E2024_39,Regular Season,ZALGIRIS KAUNAS,ZAL,78,MACCABI PLAYTIKA TEL AVIV,TEL,63,True
RS,11,"Nov 21, 2024",20:00,93,E2024_93,Regular Season,CRVENA ZVEZDA MERIDIANBET BELGRADE,RED,77,PARTIZAN MOZZART BET BELGRADE,PAR,89,True
RS,25,"Feb 05, 2025",19:00,222,E2024_222,Regular Season,AS MONACO,MCO,92,BASKONIA VITORIA-GASTEIZ,BAS,85,True
RS,30,"Mar 20, 2025",19:00,263,E2024_263,Regular Season,AS MONACO,MCO,91,FENERBAHCE BEKO ISTANBUL,ULK,82,True
