season,round,gamecode,team,opponent,location,possessions,off_rtg,points,bench_points,starter_points,pace,fga,fg3a,fta
2025,18,E2025_176,PAN,ZAL,Away,71.424,128.80824372759855,92,52,40,71.424,64,22,10
2025,6,E2025_56,ASV,DUB,Home,74.0352,114.81025242047025,85,22,63,74.0352,71,34,23
2025,6,E2025_56,DUB,ASV,Away,70.38719999999999,112.2363156937625,79,15,64,70.38719999999999,57,16,28
2025,8,E2025_71,MIL,PRS,Home,69.2352,124.21427250878165,86,43,43,69.2352,67,31,23
2025,8,E2025_71,PRS,MIL,Away,71.9232,107.05864032746042,77,39,38,71.9232,73,36,18
2025,17,E2025_162,TEL,PAM,Home,73.38239999999999,115.83158904587478,85,41,44,73.38239999999999,63,27,26
2025,17,E2025_162,PAM,TEL,Away,73.4208,111.68497210599722,82,48,34,73.4208,73,39,17
2025,14,E2025_136,IST,MAD,Home,68.96640000000001,108.74860801781736,75,21,54,68.96640000000001,65,24,11
2025,14,E2025_136,MAD,IST,Away,64.89599999999999,124.81508875739648,81,40,41,64.89599999999999,54,25,15
2025,7,E2025_70,OLY,MCO,Home,70.0416,124.21189692982455,87,26,61,70.0416,57,22,34
2025,7,E2025_70,MCO,OLY,Away,68.81280000000001,133.69605654761904,92,19,73,68.81280000000001,60,24,22
2025,11,E2025_109,BAR,VIR,Home,68.96640000000001,127.5983667409057,88,44,44,68.96640000000001,72,33,11
2025,11,E2025_109,VIR,BAR,Away,66.048,122.63808139534885,81,44,37,66.048,58,20,20
2025,11,E2025_102,TEL,BAS,Home,71.5776,124.34057582260371,89,43,46,71.5776,68,24,24
2025,11,E2025_102,BAS,TEL,Away,69.1584,120.01434388302795,83,47,36,69.1584,67,29,16
2025,13,E2025_121,DUB,PRS,Home,74.6112,120.62532166752445,90,30,60,74.6112,58,29,38
2025,13,E2025_121,PRS,DUB,Away,74.112,120.0885146804836,89,39,50,74.112,69,28,30
2025,25,E2025_241,PRS,MAD,Home,71.5008,137.06140350877195,98,57,41,71.5008,76,37,17
2025,25,E2025_241,MAD,PRS,Away,70.1952,131.0630926331145,92,50,42,70.1952,60,32,23
2025,24,E2025_240,VIR,RED,Home,72.1152,128.96033013844516,93,34,59,72.1152,66,25,23
2025,24,E2025_240,RED,VIR,Away,73.11359999999999,139.50892857142858,102,58,44,73.11359999999999,70,35,14
